ra,dec,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,ref_epoch,pmra,pmdec,parallax,radial_velocity
129.76562243013572,18.54695851840841,18.404455,818.7758911310788,1.4263928,2016.0,-6.103318111452751,4.44800876330889,2.1352984287531425,
129.9582035139063,18.57981558519695,20.831463,87.57122682436179,1.0309181,2016.0,-0.4551343706159343,-3.245711061570067,0.6045527608751747,
129.97368579842777,18.615181882665397,17.026329,2913.50295846202,2.3929286,2016.0,-1.327670627896946,-0.789376769801892,0.5047887478404693,
129.86807784795343,18.58109606090727,20.067442,176.99853117241085,0.8543934,2016.0,-1.7428082455344525,-0.8396800415404768,1.2263011276240436,
129.8937157741078,18.665967105832237,20.37843,132.9153321859854,0.8789365,2016.0,6.191735019276794,-0.6414345460937524,2.586144148888922,
129.89173107392588,18.666323068433016,20.767975,92.84458498398675,0.9309489,2016.0,-3.0721795347233485,-0.4938220613743224,1.9922109848885716,
130.0579410761747,18.549776234839825,18.946281,497.08909981900763,1.2635847,2016.0,3.1364742711914,-7.383972085324402,0.11663254468747469,
130.13476614804912,18.596650435472338,18.48997,756.7609845780845,1.4177045,2016.0,3.664347399572672,-1.4317016959288271,0.6322884443027224,
130.05738769277767,18.62782381190849,19.545324,286.2973814435965,0.9451653,2016.0,-6.255103469301051,-16.30174647852866,1.8031647066683982,
130.1571607680555,18.648878981547668,19.733171,240.81211778744176,0.9336053,2016.0,-12.27789200839613,-7.909373560099502,0.8039644144066583,
130.14688343048707,18.73020793832398,12.612698,169772.58608970462,34.06691,2016.0,-9.291306517548467,-3.7566692134861266,0.8674946693192086,40.044964
130.00362973003377,18.645666048221667,12.216475,244543.92486978162,83.41907,2016.0,0.006757163947178069,-4.801022871903946,1.801092454803089,-13.73784
129.95979736420446,18.630637384302496,19.962128,195.0274903529503,0.8437158,2016.0,-1.2548491578167682,0.6293967599708319,-0.31917738964164516,
129.96611300795422,18.68252869826793,19.165636,406.15520244945725,0.93933123,2016.0,-4.23323711066793,-2.6410414395949076,0.24177564792546596,
129.96817091494614,18.738845637213572,19.001347,472.50669795848074,1.1431247,2016.0,-0.013795945417532707,-4.737103237396949,0.8337262087874275,
130.00765359816094,18.737629407955705,16.64839,4126.585523999446,2.28748,2016.0,5.657780266176526,-17.735360514267363,0.44495791906626037,
130.12603376114865,18.783087711425075,20.268963,147.01494469198232,1.5543494,2016.0,-5.6105629979613365,-3.4709859979604523,0.6937267792740345,
130.07156251685174,18.75929175302513,19.421965,320.7457510101904,1.0178167,2016.0,-3.9486618223364003,-9.41995422940333,0.17300672053526395,
130.10541832224723,18.78729262279918,20.082342,174.58618437433276,0.78382874,2016.0,-1.7381726127752337,-1.203132857193076,0.24580959862134716,
130.05665287409104,18.788874337765794,19.688614,250.9002087671012,0.8596505,2016.0,-1.4574572400538586,-0.23406986516231923,0.04139857756648907,
130.06903765441803,18.806300011165963,20.152084,163.72422734588213,0.7668104,2016.0,1.9618973952136922,-7.133601626507048,-0.4250852895237937,
129.16253101693357,18.35714718688926,21.006437,74.53694311270235,1.4675263,2016.0,,,,
129.17091013823574,18.366973538062094,21.19273,62.78480383784395,2.1800818,2016.0,,,,
129.1480392705584,18.37384927792851,20.979208,76.42990884153933,1.6780266,2016.0,,,,
129.10591412887985,18.417569925019126,16.80487,3572.7169929101137,2.1063972,2016.0,-1.3430182779883926,-1.0175440214568785,0.06743645385157249,
129.08882178518928,18.459860361649014,20.652138,103.29785470146848,0.8497498,2016.0,-0.12072058191197724,-1.4006017834187339,-2.578106211374907,
129.06915279413388,18.454612478088183,17.79006,1441.8597210950325,1.563643,2016.0,1.9159605457645172,-7.440350073388421,0.9432148661864217,
129.0746384238496,18.45591863457248,18.109303,1074.5476135615927,1.3819205,2016.0,-0.0769572353201512,-5.0135869625626235,0.4985266981596185,
128.9994807596117,18.466790697086793,20.451937,124.21432769827715,0.8821567,2016.0,-1.984942849994117,0.1869766910330332,-0.1984063833056487,
128.99104316429194,18.499262588234355,18.870495,533.0267243222659,1.1770948,2016.0,14.775213046002529,-13.413707684483578,0.652297218806482,
128.96279304609564,18.501114024272592,20.361862,134.95898819202324,1.0204551,2016.0,-6.026337071541382,6.812722784554433,2.398816485837637,
128.8891231083988,18.553270182037686,21.412683,51.2711955759084,1.7600324,2016.0,,,,
128.78473139773652,18.640028345035567,20.526646,115.9548203152198,0.97674364,2016.0,-2.004453260146483,-0.7531375304144945,-0.8779471448986718,
128.81809742471168,18.663840867127966,20.317068,140.64346416648823,0.92290866,2016.0,-0.6071271010479097,-3.4120141510497937,-0.32985370065574227,
128.76326501375667,18.755592790629766,19.524975,291.713944410697,1.044404,2016.0,-0.4070510411269913,-5.276238469101099,-0.2942307109393917,
128.69200770805153,18.75017081054281,16.237759,6023.417817395965,3.8388321,2016.0,22.705383705836944,15.276064612395839,3.2947669997696236,
128.70683809374216,18.78441989194832,15.409495,12916.607616830872,12.587836,2016.0,-32.92672034203667,-11.27995207382654,5.28227350260101,27.799814
129.35576305931886,18.25800211301263,20.984583,76.05249035450609,2.1923695,2016.0,,,,
129.43886258906244,18.278398171737717,18.505133,746.2655185308256,4.737762,2016.0,-1.2001193703672508,-5.0916713308984525,1.7890132752872947,
129.43923915954636,18.276407951511306,15.622422,10616.415035151731,3.7853594,2016.0,-4.285654606984168,-1.9557844220003964,0.6761064665217104,
129.45790833789948,18.29018413117993,14.455737,31092.239459219505,30.893063,2016.0,-3.6381422151489686,-5.6063965325397405,0.904220205323543,65.06437
129.32200296935656,18.27442633767559,17.211058,2457.669556371635,2.2542598,2016.0,-5.603303897256892,-12.56330117546348,1.8509500892502087,
129.3124143085551,18.302986593955545,15.097573,17215.409467409278,5.359209,2016.0,-4.037179745748281,1.391495524860447,0.8457175584677935,
129.37622141498534,18.30596259472974,20.913456,81.20158494279359,1.7416942,2016.0,,,,
129.3678992328618,18.3604052615425,17.521406,1846.6474059754883,1.7717235,2016.0,1.535380774260784,-4.221502169945395,0.8895060275837411,
129.50868162551893,18.36755466339859,20.78936,91.03378191937496,3.2250237,2016.0,,,,
129.4327381567575,18.368309343121954,20.373096,133.56970624804538,0.7352918,2016.0,1.273268530113107,-16.910032504232557,1.3159547270890317,
129.39435149383485,18.37235835576123,19.450644,312.3845412571566,0.99621814,2016.0,-1.767176964791097,-2.8279439051963458,0.5569033588919178,
129.45073841725286,18.381273680318124,20.97186,76.9488673687924,1.3746896,2016.0,,,,
129.34978053568048,18.370800388609588,20.379538,132.7796363027442,0.90052253,2016.0,-3.2153417981900843,-6.374389499851148,1.0292785507461915,
129.21881508317375,18.37525497928288,19.524878,291.7399862983351,0.888651,2016.0,-0.767386115747736,0.9934839088027496,0.5547210592149002,
129.2381402704891,18.381108801910777,17.078632,2776.4737102822546,2.1910567,2016.0,3.3510299661065703,-10.462550457320726,0.8193460220826015,
