# ra,dec,mag,mag_error
130.260229,18.367168,19.7984,0.004211
130.461031,18.404680,15.7868,0.000352
130.414375,18.450432,20.7183,0.008549
130.416684,18.447795,18.7507,0.001890
130.402145,18.499491,20.7088,0.009272
130.441424,18.504766,17.1554,0.000714
129.704609,18.186138,19.5406,0.003855
129.873779,18.156969,20.7705,0.012285
129.991736,18.196088,19.0728,0.002375
130.032795,18.205496,20.8132,0.013521
130.028469,18.202384,18.7609,0.002053
130.000281,18.202167,20.3494,0.007379
129.952950,18.177752,19.7477,0.003896
129.947114,18.193876,20.7497,0.008996
130.002522,18.263857,15.8655,0.000458
129.797690,18.171335,15.6880,0.000502
129.762674,18.194199,21.0831,0.030476
129.797126,18.213809,14.4868,0.000215
129.762443,18.209092,15.0175,0.000297
129.798828,18.256110,21.0302,0.022783
129.864242,18.248737,17.2435,0.002043
129.904746,18.277783,20.2027,0.005549
129.932018,18.309698,19.7256,0.004320
129.862195,18.311583,17.2247,0.000963
129.862031,18.328251,20.2686,0.005659
129.642380,18.167670,20.6678,0.009470
129.688478,18.181856,19.5442,0.013358
129.628700,18.220090,17.8248,0.001094
129.666314,18.254618,20.2022,0.005325
129.481589,18.190943,20.6566,0.010247
129.463924,18.267629,20.4786,0.008909
129.573590,18.239834,16.8135,0.000726
129.601020,18.263411,19.1526,0.002671
129.592169,18.280103,18.1862,0.001425
129.606381,18.281463,20.2760,0.005710
129.495309,18.289138,20.7952,0.012141
129.506061,18.309064,19.0072,0.003060
129.526515,18.332060,20.4581,0.007459
129.562581,18.340594,20.2038,0.006240
129.738315,18.244839,11.5247,0.000298
129.751247,18.291749,20.6705,0.009481
129.668796,18.304632,16.1302,0.000513
129.753032,18.318732,19.2051,0.003583
129.808765,18.341271,20.8555,0.020388
129.730430,18.366462,14.6807,0.000319
129.828760,18.394455,20.9191,0.016180
129.801838,18.432972,19.1761,0.002714
129.652056,18.332004,19.9800,0.004725
129.666541,18.356693,19.8038,0.004390
130.039766,18.246893,20.1917,0.005257
130.087283,18.258352,19.8294,0.004531
130.075737,18.280080,21.7710,0.046276
